Id,joke
1,"Why did the chicken cross the road, to get to the other side?"
2,"I told my computer, I needed a break, and it said no problem—it froze."
3,"I bought a wooden car. It's got wooden engine, wooden doors, wooden seats, wooden wheels, even a wooden key. Guess what? It wooden start."
4,"I have a horse named Mayo... Mayo neighs."
5,"My brother threw butter at my window. i asked him why. he said that he wanted to see butterflies."
6,"Bakit malungkot ang undas? Kasi kapag binaligtad mo, SADMU."
7,"Bakit mahilig ang pari sa juice? Kasi siya ay MAKAJUICE."
8,"My friend got me an elephant for my room. I said thanks and she said dont mention it."
9,"I thew a boomerang a few years ago. Now I live in constant fear."
10,"Ano ang cellphone ng mga lola? Edi motoLOLA."
11,"Why was Cinderella so bad at soccer? She kept running away from the ball!"
